Model,Fold,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error
QSVC_2D,1,172,193,70,86,0.7005758157389635,0.7011589260422713,0.7005758157389635,0.7338403041825095,0.7002045739459314,21750.666622400284,1.4740682303549337,2.3377530620813705,4,64.67673962293303,35.95986158555948,0.02331123475843182
QSVC_2D,2,162,180,63,116,0.6564299424184261,0.6678124189448565,0.6564299424184261,0.7407407407407407,0.6552209963363552,23819.810266971588,1.8292569410839896,1.9170371243740307,7,90.38589099907398,73.15483972984549,0.042643161693734055
QSVC_2D,3,166,177,75,103,0.6583493282149712,0.6613940634432666,0.6583493282149712,0.7023809523809523,0.6579614894750707,24252.521048069,1.9954241261175045,2.4403149218618805,10,56.64640213539913,58.309327087948134,0.022789727816307795
QSVC_2D,4,165,187,79,90,0.6756238003838771,0.6756478537627266,0.6756238003838771,0.7030075187969925,0.6753340900597036,23361.921929836273,1.8460785761955723,1.51238302887871,6,95.16118136723537,21.477079030474314,0.018378230780380443
QSVC_2D,5,185,171,72,93,0.6833013435700576,0.6862081742614913,0.6833013435700576,0.7037037037037037,0.6836446103767836,24550.63986468315,1.5123398045812322,1.4781327681500593,11,52.014447286727105,50.732882460623095,0.03721917850097496
QSVC_2D,6,197,166,60,98,0.6967370441458733,0.7067840024478337,0.6967370441458733,0.7345132743362832,0.6980578211423097,22918.187391757965,0.8145354161453013,2.9531220466458086,10,54.18624689226742,43.15637065621564,0.0249578853791627
QSVC_2D,7,165,186,83,87,0.6737044145873321,0.6735816038336007,0.6737044145873321,0.6914498141263941,0.6736032749962817,22202.228290081024,1.648787965827113,2.383311303733083,5,66.42790749428993,23.267962842010256,0.0172983216260996
QSVC_2D,8,161,184,77,99,0.6621880998080614,0.6632983992617686,0.6621880998080614,0.7049808429118773,0.6615571465040471,24402.011852264404,1.5939647007158093,2.1501211469176296,5,86.30556296723185,42.01768442043203,0.01588908297642068
QSVC_2D,9,176,166,72,107,0.6564299424184261,0.6632565420256584,0.6564299424184261,0.6974789915966386,0.6568731099461994,23860.546627998352,1.467827863766996,2.490429485381669,6,69.91402745445272,20.408881874007687,0.030936287402698874
QSVC_2D,10,188,152,75,106,0.6525911708253359,0.6600693472668284,0.6525911708253359,0.6696035242290749,0.6540263565713572,23284.73679304123,1.6750808299937576,2.8185053888739846,7,89.75290088030656,39.42384953662542,0.040607753350175683
